Phrase,Target
places,0
passionate,0
team *,0
flexible working time *,0
hot-trend technologies,0
practices,0
* premium healthcare insurance,0
ones * company trip,0
big annual year-end party,0
every year,0
team building,0
* fitness,0
sport activities,0
football,0
tennis,0
table-tennis,0
badminton,0
yoga,0
community development activities,0
% pledge,0
charity,0
every quarter,0
blood donation,0
public seminars,0
career orientation talks,0
free in-house entertainment facilities,0
foosball,0
pong,0
gym,0
coffee,0
snack,0
instant noodles,0
cookies,0
candies,0
fantastic things,0
opportunity bi developer,0
product managers business users,0
business questions data solutions,0
support maintain solutions,0
work variety data sources data tools,0
in-house enterprise,0
build insight data report visualization,0
business questions requests,0
proper bi solution,0
measurable scalable design,0
hadoop/vertica,0
etl tools,0
ssis in-house,0
etl,0
dashboard,0
tableau,0
product achieve team ’ standard quality checklist,0
bi technology date data insight team,0
years experience business intelligence area fluent,0
english interpersonal skills experience etl tools,0
data modeling,0
visualization proficient knowledge,0
relational database,0
able write,0
execute,0
interpret queries,0
curious –,0
self-driven learner areas,0
new business models,0
analytical techniques,0
technical skills,0
etc experience business analysis data modeling,0
languages,0
equal opportunity employer agoda,0
basic information,0
working address,0
light building,0
huu,0
nam tu liem,0
time,0
pm,0
monday saturday morning,0
saturday morning,0
online,0
salary,0
millions,0
vnd job description,0
decision tools,0
data visualization programs,0
tools techniques,0
dashboards,0
reports presentations,0
data storytelling,0
interpretation trends,0
business importance,0
meanings data,0
sure internal activities,0
daily/weekly progress,0
agile structure,0
clear okr/kpis,0
support collaborate business stakeholders,0
understanding reasons,0
trends,0
technology company,0
data analysis business analysis degree computer science software engineer,0
proficiency sql,0
powerbi,0
bi platforms,0
r,0
good command,0
english ability focus,0
tasks,0
specific outcome,0
benefits,0
professional working environment,0
efficiency,0
year,0
month,0
salary bonus,0
modern equipment work,0
periodic bonus,0
holiday bonus,0
lunch allowance,0
allowance,0
social insurance – health insurance – unemployment insurance regimes,0
regulations,0
regimes,0
labor law,0
holiday,0
new year,0
leave…,0
preferential regimes,0
annual vacation trip,0
birthday,0
periodic health examination year thu,0
international general hospital,0
opportunity,0
1-2 times,0
/ year,0
purpose job holder,0
responsible use analysis,0
business,0
methods,0
processes,0
systems,0
analyze,0
trigger business problems business decision process,0
customer value operation efficiency,0
help business,0
understand implications information,0
identifies,0
performance management,0
key accountabilities,0
analysis và reporting identify,0
interpret trends patterns,0
complex data sets,0
script languages,0
analysis datasets,0
metrics,0
reports visualizations,0
use data visualization programs,0
maintain statistical models,0
ad hoc review analysis data,0
understand data requirements,0
outside tribe analyze,0
senior tribe members,0
required technical requirements,0
align stakeholders,0
impact analytical solutions business,0
lead identification interpretation,0
meaningful actionable insights,0
various data sources,0
tools monitor,0
model performance data accuracy,0
interact squads,0
tribe,0
identify questions issues data analysis,0
assess effectiveness accuracy,0
new data sources data gathering techniques,0
success,0
qualification,0
bachelor,0
degree finance,0
risk management,0
statistics,0
mathematics,0
quantitative analysis,0
relevant experience areas,0
analysis,0
và planning,0
problem,0
english proficiency requirements,0
techcombank,0
policy experience,0
e.g,0
sql,0
actionable intelligent experience,0
complex analysis models,0
diverse team experience data management,0
etl analysis functions experience data analysis bi tools tableau,0
qlikview,0
spark,0
deep understanding information security,0
management data,0
strong understanding agile principles,0
methodology experience,0
agile teams,0
digital transformation projects,0
building,0
dashboards monitor performance metrics,0
data quality,0
data sources,0
reliable relevant team ’ purposes,0
internal team consolidate requirements,0
business needs,0
deliver projects,0
ad-hoc tasks/ projects,0
manager,0
senior bi members,0
know team,0
many great strides,0
recent years,0
reach,0
globe,0
list travel products,0
critical driver success team agoda finance,0
steady hand,0
day-to-day financial operations,0
eye future opportunities,0
unique role,0
innovation growth,0
means,0
empowerment team members,0
experimentation data analysis deeply,0
ingrained culture,0
strategic insights,0
’ business leaders,0
push new territories,0
sustainable scalable ways,0
career development agoda finance,0
every function,0
team,0
well-defined career track,0
clear goals development targets,0
way,0
senior business intelligence analyst part,0
commercial finance team reports business intelligence manager,0
successful candidate work,0
finance department tools,0
models,0
technical knowledge,0
generate value,0
senior leadership,0
enable success business,0
high volumes,0
operational data,0
forecasts,0
solutions,0
senior management,0
conclusions,0
impact commercial decisions business,0
position,0
bangkok – relocation,0
expat candidates,0
* role,0
support finance community data,0
analytical capabilities,0
entire finance organization,0
commercial finance team evaluation,0
initiatives,0
investments,0
major operational changes,0
operational financial performance trends,0
complex data,0
actionable insights,0
strong connections,0
engineering finance teams,0
trusted proactive partner,0
project delivery create maintain models,0
stakeholders,0
well-written documentation mind,0
optimize reports,0
procedures,0
mind collaborate engineering product development teams changes,0
new sources data,0
end users,0
knowledge,0
enable skill development,0
effective training programs,0
leader,0
new technologies,0
commercial finance team,0
bachelor ’ degree,0
analytics,0
analytics tools,0
similar technologies,0
experience etl tools,0
proficient knowledge,0
relational databases,0
ability write,0
essential quick learner,0
problem-solving aptitude,0
effective prioritization,0
strong attention detail,0
high sense ownership growth mindset,0
ability,0
self-directed ability understand business questions/requests,0
proper bi solutions,0
measurable scalable excellent communication skills ability influence peers,0
strong relationships,0
finance,0
advanced excel modelling,0
cubes,0
vba bonus,0
accounting/financial knowledge,0
commercial acumen,0
solid technical/functional knowledge statistics,0
experience r python,0
similar familiarity scrum/agile methodology,0
helpful skills,0
etl knowledge,0
batch scripting,0
odbc,0
data mining,0
jakarta,0
phuket,0
hanoi data representation data analysis sql data analytics analytics,0
language,0
data mining data science r,0
programming language,0
analytical skills data visualization,0
business analysis business intelligence,0
bi,0
sql server machine,0
microsoft power bi java finance shopee traveloka google facebook ctrip trip.com makemytrip grab amazon pandas,0
software,0
artificial intelligence,0
ai,0
information technology capital,0
accenture upwork deloitte mckinsey bain,0
microsoft uber lyft gojek lazada alibaba,0
expedia skyscanner,0
mô tả công việc,0
able produce,0
timely pre-defined reports,0
bi manager,0
dashboard bi report system,0
templates/ tools,0
define price,0
promotion articles,0
cross-functional partners,0
execute tools,0
analytical purpose ad-hoc reporting data analysis duties responsibilities,0
cầyou công việc,0
1-3 year experience data analyst,0
use data warehouse,0
data power,0
solutions analysis services review,0
source data,0
compile data documents data gathering,0
reporting,0
analytical thinking skills ability work,0
team environment,0
good english communication,0
job description,0
junior business intelligence engineer work,0
chief product officer,0
close guidance,0
senior engineer,0
flagship app,0
connect world ’ engineers,0
track steer progress,0
meet kpis,0
able track,0
give guidance business,0
deep analysis,0
big data,0
customer acquisition,0
customer retention,0
interactions,0
• build business intelligence dashboards,0
easy-to-read reports analytics,0
• work,0
chief product officer create,0
translate,0
queries,0
• etl,0
data loads,0
transformations,0
website translations,0
product requirements,0
administrative tools,0
jira,0
trello,0
help monitor progress,0
• daily standups,0
sync communicate progress roadblocks,0
team members,0
handle ad-hoc tasks behalf,0
chief product officer requirement • intermediate sql skills,0
• intermediate python skills,0
• intermediate verbal communication skills,0
english •,0
basic excel google sheets skills,0
macro/function experience,0
creative flexible thinking,0
can-do attitude overcome challenges,0
attention detail,0
multitask work,0
• familiarity tableau,0
• graduation,0
4-year university • experience,0
international remote teams,0
contact job poster,0
technical recruiter,0
developer,0
hybird,0
job poster location ho chi,0
city,0
vietnam send inmail,0
job job description,0
consult stakeholders,0
business developement,0
mall,0
marketplace,0
analyses,0
actionable business strategies,0
issues,0
information,0
various sources,0
analyze data,0
interpret patterns trends,0
propose solutions,0
track initiatives,0
efficiency support,0
various business functions development maintenance,0
various management reports requirements,0
junior senior applicants,0
discuss level seniority,0
previous experience,0
sql experience,0
large data sets numbers,0
verbal communication skills,0
english vietnamese experience,0
cross-functional teams,0
requirements,0
right metrics,0
describe state business,0
macro-level micro-level,0
automate report/,0
performance,0
management board,0
appropriate business,0
key metrics,0
different developmental stages,0
consult management,0
operational teams,0
deep dive data analyses,0
ad-hoc requests,0
responsible accuracy data extraction,0
0-2+ years industry experience,0
proven business impact,0
degree quantitative field,0
experience python,0
tools statistical analysis,0
data visualisation tools,0
proficiency advance sql skills,0
complex queries,0
ability manage,0
multiple priorities,0
priorities,0
multiple stakeholders,0
various divisions,0
inferences data,0
appropriate course actions,0
excellence,0
knowledge technology products,0
self-starter can-do attitude,0
able work team,0
job job description work,0
business intelligence analysts,0
data information,0
sound business decisions,0
responsible full life cycle development,0
implementation,0
self-serve data products design data mart intermediate,0
table structures,0
structures data,0
internal external sources,0
business processes,0
data collection generation,0
regional data engineering team business intelligence team data availability retrieval review grant,0
user access,0
data privacy policy review,0
manual processes,0
possible requirements bachelor,0
degree computer science information systems,0
related field,0
experience data engineering knowledge database architecture design proficient sql python ability work,0
fast-paced agile development environment,0
financial operations team,0
critical role,0
financial stabability shopee xpress,0
finance book,0
cash collection,0
asset management,0
compensation payment clients,0
partner,0
vendors,0
key interface,0
finance operations team,0
business transformance,0
essential communication,0
documentation,0
system,0
support daily operations projects,0
current process build procedures data integration,0
daily work,0
files,0
gsheet,0
excel,0
power bi…,0
daily reconciliation reports,0
propose solution process improvement,0
mitigate risk cash loss,0
automation,0
prioritise reporting timelines,0
financial impacts,0
high level accuracy requirements university,0
fields,0
minimum 1-3 years,0
relevant work experience,0
e-commerce express logistics experience,0
preferable able drive implement ideas,0
present findings,0
fast-paced environment,0
strong analytical problem-solving skill,0
excellent microsoft analytics tools skill,0
google datastudio,0
ability interact,0
problems,0
dialogue,0
high sense responsibility,0
eager learn,0
business requirements,0
context build warehouse data,0
technical specifications,0
accessible information decision makers,0
data analytics platforms,0
bi systems,0
bi models,0
users,0
members levels performance improvement suggestions,0
job,0
ninja van tech-enabled logistics company mission,0
hassle-free delivery services businesses,0
southeast asia,0
operations,0
become region,0
last-mile logistics company,0
merchants,0
parcels,0
every minute,0
countries,0
core,0
massive industry cutting-edge software,0
operational concepts,0
algorithm-based optimisation,0
dynamic routing,0
data-driven approach,0
best-of-class delivery services,0
shippers,0
customers,0
much room improvement,0
many ideas,0
industry,0
role participate,0
regular catchup stakeholders,0
changes business side data needs,0
monitor trends,0
new business insights,0
data engineers analysts,0
new opportunities analytics,0
actions,0
analytical projects support departments,0
decision-making data,0
responsibilities business intelligence,0
provide stakeholders,0
related understandings design,0
update optimize dashboards,0
tables,0
others,0
accurate insights,0
and/or support operations,0
data integrity plan,0
implement analytics projects,0
%,0
modeling,0
actionable data,0
descriptive stats,0
measure,0
operational efficiency,0
cost metrics,0
slas adherence,0
process,0
workflow,0
recommend changes,0
productivity stability service infrastructure,0
manual work prepare,0
source information teams,0
questions,0
“,0
data xx,0
” query maintenance support requirements experience,0
1-2 years,0
data analytics,0
data visualization tableau,0
familiarity cloud data tools,0
education,0
/ qualifications,0
bachelor degree computer science,0
information systems,0
address,0
ninja van vietnam office,0
binh district,0
ho chi,0
salary benefits,0
competitive income,0
market,0
tet,0
bonus,0
performance review,0
months,0
social insurance,0
days,0
full salary,0
high-class aon health insurance manager level,0
year end party,0
annual townhall ceremony,0
annual company trip,0
attractive team-building activities,0
regular internal activities,0
laptop employees,0
participate internal training courses,0
online/offline opportunities,0
positions,0
team leader,0
manager etc,0
colleagues,0
senior leaders,0
respectful ready facilitate personal growth,0
young dynamic working environment scope work,0
company operations,0
provinces/cities,0
country,0
job application,0
acknowledge read,0
privacy policy notice,0
”,0
consent collection,0
use and/or disclosure,0
personal data ninja logistics,0
ltd,0
“ company ”,0
notice,0
event job application,0
personal data,0
third party,0
pursuant purposes,0
warrant third party duly,0
role finance data science team create,0
frameworks new product,0
financial reports,0
relevant data information,0
financial reporting requirements,0
troubleshoot system-related issues,0
document process,0
business logics manage stakeholders,0
needs,0
concerns problems,0
changes,0
enhancements,0
product,0
technical challenges,0
level accuracy requirements,0
’ degree finance,0
accounting,0
economics,0
business administration and/or business analytics,0
database advantage,0
robust data analytics,0
and/or visualization skills,0
python and/or,0
microsoft power bi,0
effective team player passion,0
results-oriented fast- pace environment,0
strong analytical thinking problem,0
communication project management skill,0
sense ownership,0
drive determination dependability,0
strong work ethic,0
numbers data,0
data cleanliness accuracy,0
data manage,0
large amounts data,0
data-driven insights business,0
strategic planning drive improvement actions,0
business decisions,0
entire performance shopeepay data,0
analytic team,0
risks,0
periodic ad hoc reporting facilitate operations,0
track performance drive improvement,0
periodical report,0
track,0
department,0
operations management adhoc,0
requirement,0
new research practices,0
effectiveness speed requirements,0
bachelor degree,0
major quantitative subject,0
business analytics,0
engineering,0
mathematics someone experience,0
fintech e-commerce industry,0
similar capacity,0
advantage experience,0
years experience business intelligence data analytics proficiency sql,0
structured query language,0
excel power point,0
strong analytical problem,0
insights data,0
research design,0
practical scalable solutions,0
high energy,0
self-motivation ability,0
environment customer,0
good critical thinking,0
logical thinking,0
excellent verbal non-verbal communication skills,0
payment processing system/fintech,0
quantitative qualitative sources,0
motivated business intelligence analysts,0
bi team provide business team data support,0
business goals,0
ideal candidate,0
large scale database,0
building metrics,0
relevant focus programs,0
business metrics reports,0
ms power platform,0
deep data generate insights,0
business issues,0
opportunities growth,0
strong interest predicting,0
future,0
data-driven self-service organization,0
operational efficiency bi team,0
supply chain,0
business partners,0
multiple project areas,0
bi needs,0
e.g.,0
new metrics,0
bi report,0
impact analysis,0
new program,0
manage request intake,0
right priorities,0
entire organization,0
automate business reports,0
accurate reliable data,0
individual business team standard,0
analytical approach,0
requests,0
complex ambiguous business problem statements analysis requirements,0
derive business insights analysis,0
recommendations,0
center/e-commerce platform,0
working business partners,0
strong sql skills,0
postgres,0
strong excel skills,0
experience bi tools,0
power,0
basic experience,0
strong self-starter,0
confident operate,0
strong interpersonal skills,0
oral communication skill,0
good analytical skills,0
passion metrics figures,0
high attention details,0
performance reviews,0
year laptop,0
macbook/window,0
professional constructive environment,0
various snacks drinks bar,0
15-day annual leaves,0
labour law,0
happy hour,0
birthday party,0
… team building activities,0
democratise data building,0
consult business stakeholders,0
logistics,0
shopee express,0
lead actionable insights growth business lead effort communicate state business stakeholders,0
shopee,0
team understand reasons,0
year experience business intelligence data analytics role,0
business impact,0
strong experience sql,0
excel skill knowledge power query,0
power pivots,0
key drivers success category execution,0
campaigns,0
traffic mechanics,0
business target,0
methodology,0
data report,0
commercial teams,0
daily operations,0
key opportunities risks,0
• understand platform business operations category strategies,0
commercial category teams,0
key drivers,0
risks opportunities,0
category requirement,0
analytical requirements,0
data products team business intelligence team building,0
layered tables,0
business strategy monitoring performance,0
• understand operational demand categories,0
standardized analysis trackers,0
actionable execution,0
discuss performance category leaders business leaders,0
good performance,0
data analyses,0
country knowledge,0
country teams,0
structural solutions issues country teams,0
• leverage,0
functional expertise lead,0
approach,0
functional area,0
support development solutions,0
counterparts bi,0
pm / automation,0
traffic,0
trial solutions,0
rolled-out region-wide job requirements,0
bachelor ’ s/master degree,0
computer science business management •,0
experience business performance analysis reporting,0
data analysis,0
independent thoughts insight,0
strong sql skill,0
basic analytical tool sas,0
spss,0
qliksense etc,0
• ability,0
perceive opportunities,0
data •,0
excellent communication skills,0
interpersonal skills,0
• results detail,0
strong emphasis problem,0
cross bu level analysis projects,0
• e-commerce experience,0
• experience logistics,0
fulfilment,0
monitoring,0
strategy and/or tech,0
contact job poster mai anh,0
mina,0
senior talent acquisition @ lazada || need help job search,0
job poster location,0
send inmail,0
business intelligence solutions organization,0
reports office applications,0
company ’ mission,0
management executives,0
manuals organization,0
development needs,0
operations organization efficiency profitability requirements familiarity data collection software protocol experience,0
new software programs data services,0
multiple projects,0
deadlines,0
excellent analytical forecasting ability,0
job site name,0
ho,0
chi minh city,0
date,0
mar,0
opportunity help,0
quality performance measurement,0
internal external data support,0
profitable growth,0
markets,0
business intelligence manager,0
help gsk,0
commercial value,0
internal data sources,0
loc ’ business stakeholders,0
country bim,0
consistent coherent performance measurement,0
loc deliver business insights brand performance forecast accuracy,0
standard kpis collaboration country/global analytics team,0
strong measurement tools,0
competition,0
quality customer engagement,0
business impact bridge lead parameters,0
outcomes,0
commercial analytics business intelligence roadmap drive,0
customer,0
insight experience drive optimal,0
efficiencies,0
secondary data resource utilization,0
drive improvement data connectivity,0
different commercial platform/ system,0
first-hand insight country,0
kc data,0
workflow optimization activities responsibilities,0
opportunity lead,0
key activities,0
career,0
resource managements,0
availability data,0
key stakeholders/3rd party,0
issues/bug data source reports,0
monthly performance review system management,0
business unit structure maintenance service capability build,0
utilize bi resource system,0
task jobs,0
requested line manager,0
commercial leaders,0
basic qualifications,0
professionals,0
achieve goals,0
years experience business intelligence,0
related area pharma experience asset,0
commercial experience asset fluency,0
english people management experience,0
expert project management country experience asset consultancy agency experience asset,0
boundaries,0
functional areas,0
high resilience agility,0
strategic analytical mindset,0
full project lifecycle appreciation,0
creative problem,0
demonstrable evidence,0
multi-cultural sensitivity gsk,0
gsk,0
unprecedented change,0
leader consumer healthcare,0
leadership,0
commercial execution,0
significant changes,0
separate create,0
new companies,0
new gsk,0
portfolio vaccines specialty medicines,0
immune system genetics science,0
new world-leading consumer healthcare company,0
trusted brands,0
new ambition,0
new purpose,0
unite science,0
talent,0
technology get,0
– clear ambition,0
human health impact,0
sustainable shareholder returns,0
outstanding people,0
preventing disease,0
people culture,0
culture,0
ambitious patients,0
deliver matters,0
accountable impact,0
clear ownership goals,0
right thing,0
lives billions,0
moment journey,0
join challenge,0
goal,0
world ’,0
performing,0
healthcare companies,0
something,0
unique gsk combine knowledge,0
experiences,0
impact,0
join adventure gsk,0
work patients consumers,0
place,0
important notice employment businesses/ agencies,0
accept referrals employment businesses,0
employment agencies,0
vacancies,0
site,0
employment businesses/agencies,0
contact gsk,0
commercial general procurement/human resources department,0
authorization,0
candidates,0
authorization condition precedent agreement,0
employment business/ agency gsk,0
absence,0
undertaken employment business/agency,0
consent,0
contractual agreement gsk,0
liable fees,0
actions fees,0
referrals employment businesses/agencies,0
entire performance shopeefood data,0
democratse data building,0
business development,0
campaign,0
insight drive,0
years industry experience business intelligence data analytics role,0
business impact experience,0
macro-level micro-level passion,0
usable thorough dashboards/visualizations,0
power query,0
power pivots experience mysql compulsory,0
english vietnamese coordinate stakeholders,0
region,0
technology,0
smart,0
make difference world,0
join rocketship,0
social vietnam,0
passionate business intelligence,0
analysts,0
information insight,0
insight business decisions,0
interpret data,0
analyze results,0
statistical techniques,0
requests business stakeholders,0
development maintenance data,0
serve analytical purposes,0
timely manner identify,0
opportunities recommendations revenue p,0
l optimization,0
define new improvement opportunities areas,0
products,0
processes qualifications,0
experience banking/finance industry,0
strong analytical skills ability,0
disseminate significant amounts information attention detail accuracy,0
strong experience databases,0
knowledge statistics,0
statistical packages,0
datasets,0
use skills,0
serve business stakeholders,0
basis compensation benefits,0
brightest technology teams,0
part,0
exponential growth,0
world-class talents,0
top-level managers,0
international group experts,0
market rate,0
generous comprehensive optional health insurance package family opportunity,0
business intelligence manager charge,0
decision business optimization,0
various reports,0
0-2+ years,0
associate level,0
senior level,0
industry experience,0
data visualization tools,0
proficiency,0
sql skills,0
role responsibilities,0
socialise business dashboards reports support business,0
decision-making growth,0
implement data assets,0
marketing sales performance,0
customer experience,0
insights data consult business stakeholders,0
relevant experience business intelligence data analytics role,0
strong competency,0
strong business acumen,0
experience driving business impact,0
cross-functional stakeholders,0
verbal skills,0
hubspot,0
relevant systems advantage,0
strategic plan development,0
training development orientation,0
managers,0
young dynamic team,0
flexible working time,0
pharma startup,0
pharmaceutical industry,0
pharmaceutical companies,0
sales,0
join,0
team contribute,0
fast-moving industry,0
•,0
share trends,0
accessible information decision-making,0
data generate reports support business decision-making business performance monitoring,0
quality reports customers,0
quality assurance checks reports,0
developer/bi analyst role,0
graduate degree computer science,0
informatics,0
another quantitative field,0
• experience,0
relational sql nosql databases,0
mssql,0
strong experience building,0
• experience data warehouse design,0
knowledge business process management,0
business intelligence concepts,0
creative provide,0
appropriate visual representations,0
bi/reporting tools data storage platforms,0
strong problem-solving analytical skills,0
• prior experience,0
open environment,0
• exceptional verbal,0
communication presentation skills,0
dynamic environment,0
saas pharma,0
hot spots,0
great experiences,0
want work,0
global environment,0
potential international career,0
experienced leadership team • ambitions,0
responsibilities •,0
impact job team,0
company contact job poster gaël béron cto poc pharma • help pharma companies,0
go-to-market job poster location,0
job prudential,0
purpose help people,0
life,0
culture diversity,0
inclusion,0
partners,0
platform people,0
impact business,0
exchange,0
support people,0
career ambitions,0
pledge,0
prudential place connect,0
responsible business intelligence support agency strategy,0
job responsibilities,0
phạm vi công việc,0
effective business intelligence strategies analytics solution agency distribution channel,0
business needs objectives,0
analytics projects,0
manage analyze sales data agency channel,0
support sales planning,0
strategy planning,0
business decision incentives,0
compensations,0
recruitment,0
cross sales,0
contests,0
marketing campaigns,0
statistics data,0
gain,0
actionable business insights boost agent productivity revenue,0
key performance metrics agency distribution channel,0
business opportunities,0
review performance manage timeline,0
reports findings,0
present senior management,0
develop team data analysts,0
management,0
job accountability / trách nhiệm chính role,0
business strategy analytics solution,0
deliver business insights,0
important business indicators,0
job requirements,0
cầyou qualifications,0
bằng cấp bachelor,0
computer science,0
master,0
degree,0
-4 years,0
business/system analysis business performance management life insurance company,0
similar role,0
skill / kiến thức và kỹ,0
good communication presentation skills,0
proficient english,0
results-driven ability handle,0
strong interpersonal time-management skills,0
proficient business intelligence tools,0
sas/ sql/power bi,0
competencies,0
năng lực lãnh đạo leadership capability model,0
intermediate level,0
prudential equal opportunity employer,0
equality opportunity benefits,0
perform work organisation,0
irrespective sex,0
ethnic origin,0
social cultural background,0
pregnancy maternity,0
religion belief,0
part-time /,0
fixed-term work,0
status,0
applicable law,0
standards,0
recruitment third-party suppliers,0
account context grade,0
job location,0
reasonable adjustments support people,0
special requirements,0
learn,0
general description business intelligence analyst member business strategy group,0
bsg,0
ceo,0
bsg team,0
businesses,0
new strategies,0
mind creatory,0
add business intelligence analyst,0
bring insights fuel innovation learning,0
data-driven decisions,0
access data,0
someone,0
eager work,0
support business ’ objectives,0
b,0
main responsibilities,0
important role,0
effectiveness efficiency business,0
business strategy adjustment future growth,0
deep inside business data,0
common responsibilities,0
collect,0
analyze business data expert,0
data measure analyze business performance markets products,0
able manipulate analyze,0
large datasets,0
multiple sources,0
social media analytics platforms,0
analyze media performance data trends,0
draw conclusions effectiveness business strategy,0
maintain database / dashboards,0
new database/ data warehouse,0
explore business issues/opportunities,0
uncover insights,0
areas business growth,0
research,0
implement maintenance forecasting models,0
decision-making models,0
business operation,0
structure,0
result numbers,0
present analysis,0
solid way business,0
lead ceo,0
collaborate cross-functional teams,0
disciplines product,0
marketing,0
deep dive core issues,0
answers,0
c,0
1-3 years experience media entertainment business category,0
relevant work experience analytics insights,0
related role,0
business mindset,0
passion data analysis,0
dot skills,0
strong proficiency,0
platforms,0
powerpoint,0
google analytics,0
doubleclick dcm,0
visualization skills,0
applications,0
nft,0
dao,0
p2e games,0
advanced english communication presentation skills,0
daily task,0
aim vision everyone talent,0
daily changes,0
contact job poster võ trần mai anh,0
mia,0
talent acquisition business partner,0
lead job poster location ho chi,0
technical expertise,0
data requirements,0
sources,0
design models,0
assess impact business initiatives,0
changes performance measures,0
business metrics,0
scorecards,0
manage team data analysts/engineers,0
deadlines analytics projects,0
customer expectations,0
departments,0
responsibilities,0
technical understandings project management supervise process designing,0
documents,0
execute drive analytics projects,0
requirement experience,0
3-5 years,0
managerial experience bi field,0
bachelor master,0
information systems teamwork,0
project management,0
business communication,0
data processing,0
data visualization,0
submit job application,0
job job description support design,0
build data,0
sql server,0
usa manager deliver tasks,0
collect reporting requirements,0
etc.,0
validate/test,0
report system,0
fit requirements,0
present report/findings,0
new ideas,0
execute ideas,0
overall goal,0
qualifications/experience,0
data analyst reporting analyst,0
proficient use sql,0
proficient use power bi,0
proficient spoken,0
good understanding data,0
excellent presentation data visualization skills,0
knowledge process production company,0
solid understanding accounting concepts,0
data science,0
business analysis,0
jazzhr,0
job description huggies®,0
kleenex®,0
cottonelle®,0
scott®,0
kotex®,0
poise®,0
depend®,0
legendary brands—and rest world,0
fact,0
% people world,0
kimberly-clark products,0
every day,0
manufacturing experts,0
– kind,0
family,0
employee research,0
every single manufacturing employee,0
day confidence security,0
safety,0
pride ability,0
healthy paycheck job,0
opportunities,0
members,0
new skills,0
roles,0
schedules time,0
way create future,0
kimberly-clark,0
clock,0
sales bi manager,0
bi reporting platform,0
analytical tools,0
insights support business channel,0
gt,0
mt,0
ec,0
corporate ..,0
vietnam indochina digital / ecom activities,0
retailer engagement platforms consumer engagement platforms consumer journey strategies,0
data points,0
structured level standard k-c data governance sensitivity,0
expectations,0
in-depth data analysis,0
insight generating,0
accurate,0
lead data analysis pipeline insight,0
support business decision-making,0
projects improvements,0
work stakeholders,0
organization identify opportunities,0
company data drive business solutions,0
highlight support sales team,0
territory levels,0
big picture,0
address gaps/opportunities,0
answer,0
performance vs target,0
communicate focus,0
specific territory support drive business,0
territory,0
sales operations,0
rtm trade marketing team,0
mine analyze data company,0
drive optimization improvement sales performance,0
route optimization,0
product portfolio business strategies,0
bellows,0
techniques,0
sales team,0
line manager,0
function,0
sales insights share,0
